tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1659,04:21.7,32:01.2,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,447,8 Ave & W 52 St,40.76370739,-73.9851615,27307,Subscriber,1992,1
2607,41:51.5,25:18.7,217,Old Fulton St,40.70277159,-73.99383605,217,Old Fulton St,40.70277159,-73.99383605,17203,Customer,1969,0
1084,47:13.9,05:18.7,3423,West Drive & Prospect Park West,40.66106337,-73.97945255,3604,Rogers Ave & Sterling St,40.6630619,-73.9538746,26737,Subscriber,1962,1
719,07:14.4,19:13.7,3349,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,3585,Union St & Bedford Ave,40.6691783,-73.9554162,19570,Subscriber,1989,2
2268,54:00.1,31:48.3,3668,Leonard St & Nassau Ave,40.72395678,-73.94984365,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,38060,Subscriber,1990,1
1529,49:19.7,14:49.5,3761,Cedar St & Myrtle Ave,40.697842,-73.926241,3232,Bond St & Fulton St,40.68962189,-73.98304269,38395,Subscriber,1983,2
629,12:44.8,23:14.2,3467,W Broadway & Spring Street,40.72494672,-74.00165856,285,Broadway & E 14 St,40.73454567,-73.99074142,34993,Subscriber,1990,1
681,53:50.7,05:11.8,239,Willoughby St & Fleet St,40.69196566,-73.9813018,3648,Flushing Ave & Vanderbilt Ave,40.69795032,-73.9707756,18454,Subscriber,1973,1
1675,20:48.6,48:44.3,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,3374,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,19802,Customer,1969,0
600,22:26.1,32:26.8,320,Leonard St & Church St,40.717571,-74.005549,257,Lispenard St & Broadway,40.71939226,-74.00247214,39241,Customer,1992,1
135,50:58.2,53:13.6,3124,46 Ave & 5 St,40.74731,-73.95451,3125,45 Rd & 11 St,40.74708586,-73.94977234,18169,Subscriber,1957,1
691,26:03.2,37:34.3,2012,E 27 St & 1 Ave,40.739445,-73.976806,505,6 Ave & W 33 St,40.74901271,-73.98848395,39413,Subscriber,1961,1
5876,27:43.4,05:39.9,514,12 Ave & W 40 St,40.76087502,-74.00277668,514,12 Ave & W 40 St,40.76087502,-74.00277668,38305,Customer,1969,0
1141,33:04.2,52:05.9,386,Centre St & Worth St,40.71494807,-74.00234482,257,Lispenard St & Broadway,40.71939226,-74.00247214,18232,Customer,1969,0
684,31:17.9,42:42.9,3611,Vernon Blvd & 47 Rd,40.7449067,-73.9534573,3716,40 Ave & Crescent St,40.7535992,-73.93795609,18155,Subscriber,1993,2
1387,32:25.7,55:33.3,368,Carmine St & 6 Ave,40.73038599,-74.00214988,453,W 22 St & 8 Ave,40.74475148,-73.99915362,18759,Customer,1969,0
1771,13:39.7,43:11.0,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,3781,Greene Av & Myrtle Av,40.698568,-73.918877,15690,Customer,1992,1
581,21:15.2,30:56.4,3749,Lexington Ave & E 36 St,40.74757396,-73.97880077,3233,E 48 St & 5 Ave,40.75724568,-73.97805914,34126,Subscriber,1970,1
2748,44:19.6,30:08.2,3016,Kent Ave & N 7 St,40.72036775,-73.96165073,3417,Baltic St & 5 Ave,40.6795766,-73.97854971,35122,Subscriber,1991,2
634,01:25.2,11:59.6,411,E 6 St & Avenue D,40.72228087,-73.97668709,361,Allen St & Hester St,40.71605866,-73.99190759,35072,Subscriber,1990,2
129,56:13.7,58:22.7,2003,1 Ave & E 18 St,40.73381219,-73.98054421,461,E 20 St & 2 Ave,40.73587678,-73.98205027,16897,Subscriber,1971,2
1658,37:59.3,05:37.4,82,St James Pl & Pearl St,40.71117416,-74.00016545,3263,Cooper Square & Astor Pl,40.72951496,-73.9907527,32835,Subscriber,1983,2
448,35:42.5,43:10.7,293,Lafayette St & E 8 St,40.73020661,-73.99102628,297,E 15 St & 3 Ave,40.734232,-73.986923,35085,Subscriber,1980,2
436,35:28.2,42:44.6,3233,E 48 St & 5 Ave,40.75724568,-73.97805914,533,Broadway & W 38 St,40.75299641,-73.98721619,18096,Subscriber,1968,1
293,37:41.9,42:35.0,3788,E 12 St & 4 Av,40.73269,-73.98974,461,E 20 St & 2 Ave,40.73587678,-73.98205027,29967,Subscriber,1995,1
666,34:45.2,45:51.8,3065,Union Ave & Wallabout St,40.70029511,-73.95032283,3085,Roebling St & N 4 St,40.71469,-73.95739,38695,Subscriber,1991,2
367,50:57.3,57:05.2,450,W 49 St & 8 Ave,40.76227205,-73.98788205,3712,W 35 St & Dyer Ave,40.75469175,-73.99740189,39525,Subscriber,1984,1
554,18:24.2,27:38.6,492,W 33 St & 7 Ave,40.75019995,-73.99093085,497,E 17 St & Broadway,40.73704984,-73.99009296,20852,Subscriber,1993,1
428,16:23.1,23:31.8,3300,Prospect Park West & 8 St,40.66514682,-73.97637606,3418,Plaza St West & Flatbush Ave,40.6750207,-73.97111473,25458,Customer,1969,0
1618,23:09.7,50:08.5,266,Avenue D & E 8 St,40.72368361,-73.97574813,505,6 Ave & W 33 St,40.74901271,-73.98848395,14891,Customer,1969,0
374,39:48.1,46:02.5,3373,3 St & 3 Ave,40.6750705,-73.98775226,3319,14 St & 5 Ave,40.666287,-73.98895053,38876,Subscriber,1990,1
573,42:38.5,52:11.6,317,E 6 St & Avenue B,40.72453734,-73.98185424,3244,University Pl & E 8 St,40.73143724,-73.99490342,26932,Subscriber,1998,1
2671,00:06.2,44:37.7,3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,505,6 Ave & W 33 St,40.74901271,-73.98848395,39139,Customer,1969,0
726,41:03.1,53:09.3,195,Liberty St & Broadway,40.70905623,-74.01043382,3256,Pier 40 - Hudson River Park,40.72771408,-74.01129574,17577,Subscriber,1982,1
2789,34:08.4,20:38.2,517,Pershing Square South,40.751581,-73.97791,485,W 37 St & 5 Ave,40.75038009,-73.98338988,30220,Subscriber,1987,1
748,05:34.9,18:03.1,465,Broadway & W 41 St,40.75513557,-73.98658032,525,W 34 St & 11 Ave,40.75594159,-74.0021163,35307,Subscriber,1987,1
1005,49:18.5,06:04.3,454,E 51 St & 1 Ave,40.75455731,-73.96592976,402,Broadway & E 22 St,40.7403432,-73.98955109,16743,Subscriber,1992,1
1257,09:23.6,30:21.2,423,W 54 St & 9 Ave,40.76584941,-73.98690506,285,Broadway & E 14 St,40.73454567,-73.99074142,39230,Subscriber,1966,1
729,04:14.5,16:24.1,447,8 Ave & W 52 St,40.76370739,-73.9851615,514,12 Ave & W 40 St,40.76087502,-74.00277668,33256,Subscriber,1990,1
710,40:00.5,51:51.3,501,FDR Drive & E 35 St,40.744219,-73.97121214,546,E 30 St & Park Ave S,40.74444921,-73.98303529,38858,Subscriber,1974,1
342,15:14.7,20:57.5,480,W 53 St & 10 Ave,40.76669671,-73.99061728,173,Broadway & W 49 St,40.76068327,-73.98452729,32943,Subscriber,1976,1
787,26:08.8,39:16.5,525,W 34 St & 11 Ave,40.75594159,-74.0021163,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,39265,Subscriber,1990,1
594,51:00.0,00:54.2,3375,3 Ave & E 72 St,40.7699426,-73.96060712,164,E 47 St & 2 Ave,40.75323098,-73.97032517,30877,Subscriber,1970,1
299,41:59.6,46:58.8,525,W 34 St & 11 Ave,40.75594159,-74.0021163,514,12 Ave & W 40 St,40.76087502,-74.00277668,32174,Customer,1984,1
1034,16:07.3,33:22.0,3299,E 98 St & Park Ave,40.78813,-73.95206,3285,W 87 St & Amsterdam Ave,40.78839,-73.9747,26352,Subscriber,1992,1
473,27:29.3,35:22.8,316,Fulton St & William St,40.70955958,-74.00653609,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,33343,Subscriber,1992,2
1299,19:35.3,41:15.2,3256,Pier 40 - Hudson River Park,40.72771408,-74.01129574,427,Bus Slip & State St,40.701907,-74.013942,25535,Customer,1969,0
951,52:19.7,08:11.6,519,Pershing Square North,40.751873,-73.977706,450,W 49 St & 8 Ave,40.76227205,-73.98788205,35291,Subscriber,1966,1
1218,14:25.7,34:43.7,3016,Kent Ave & N 7 St,40.72036775,-73.96165073,3674,Jay St & York St,40.70140317,-73.9867267,27951,Subscriber,1983,2
1955,41:48.9,14:24.3,525,W 34 St & 11 Ave,40.75594159,-74.0021163,3002,South End Ave & Liberty St,40.711512,-74.015756,39501,Customer,1995,2
246,51:55.2,56:01.7,468,Broadway & W 56 St,40.7652654,-73.98192338,480,W 53 St & 10 Ave,40.76669671,-73.99061728,39550,Subscriber,1991,1
1359,20:15.9,42:55.2,3166,Riverside Dr & W 72 St,40.78057799,-73.98562431,3539,W 116 St & Amsterdam Ave,40.8067581,-73.9607082,38366,Subscriber,1953,1
893,04:23.4,19:17.4,3370,E 78 St & 2 Ave,40.7727966,-73.95577801,476,E 31 St & 3 Ave,40.74394314,-73.97966069,38312,Subscriber,1986,1
2368,20:40.1,00:08.5,3427,Lafayette St & Jersey St,40.72430527,-73.99600983,500,Broadway & W 51 St,40.76228826,-73.98336183,33350,Customer,1969,0
638,02:28.0,13:06.5,3454,Leonard St & Maujer St,40.71036854,-73.94705951,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,25366,Subscriber,1984,1
292,15:37.3,20:29.9,3100,Nassau Ave & Newell St,40.72481256,-73.94752622,3715,Driggs Ave & N 9 St,40.71816969,-73.95520136,31130,Subscriber,1986,1
778,16:39.4,29:37.8,3400,E 110 St & Madison Ave,40.7961535,-73.94782145,3383,Cathedral Pkwy & Broadway,40.804213,-73.96699104,20101,Subscriber,1967,1
2403,51:05.1,31:08.3,3585,Union St & Bedford Ave,40.6691783,-73.9554162,3581,Underhill Ave & Lincoln Pl,40.6740123,-73.9671457,30579,Subscriber,1978,1
1050,39:08.9,56:39.2,3404,7 St & 5 Ave,40.6704922,-73.98541675,314,Cadman Plaza West & Montague St,40.69383,-73.990539,16848,Subscriber,1963,2
1125,59:40.7,18:25.8,3508,St Nicholas Ave & Manhattan Ave,40.809725,-73.953149,3172,W 74 St & Columbus Ave,40.7785669,-73.97754961,32842,Subscriber,1966,2
409,18:16.9,25:06.6,3112,Milton St & Franklin St,40.72906,-73.95779,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,33969,Subscriber,2001,1
194,52:33.6,55:47.6,3712,W 35 St & Dyer Ave,40.75469175,-73.99740189,490,8 Ave & W 33 St,40.751551,-73.993934,20184,Subscriber,1991,1
925,30:33.2,45:59.2,3059,Pulaski St & Marcus Garvey Blvd,40.6933982,-73.939877,344,Monroe St & Bedford Ave,40.6851443,-73.95380904,33447,Customer,1988,1
359,09:02.2,15:02.2,321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,3440,Fulton St & Adams St,40.69241829,-73.98949474,34299,Subscriber,1954,1
1082,47:13.3,05:16.1,358,Christopher St & Greenwich St,40.73291553,-74.00711384,251,Mott St & Prince St,40.72317958,-73.99480012,38437,Subscriber,1984,2
492,39:29.8,47:42.4,423,W 54 St & 9 Ave,40.76584941,-73.98690506,3165,Central Park West & W 72 St,40.77579377,-73.97620574,21695,Customer,1969,0
245,28:36.4,32:41.7,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,282,Kent Ave & S 11 St,40.70764494,-73.96841526,33909,Subscriber,1987,1
1042,32:25.5,49:48.0,446,W 24 St & 7 Ave,40.74487634,-73.99529885,3435,Grand St & Elizabeth St,40.718822,-73.99596,18642,Subscriber,1988,1
800,59:42.5,13:02.9,359,E 47 St & Park Ave,40.75510267,-73.97498696,285,Broadway & E 14 St,40.73454567,-73.99074142,27519,Subscriber,1988,2
527,24:01.2,32:48.7,496,E 16 St & 5 Ave,40.73726186,-73.99238967,167,E 39 St & 3 Ave,40.7489006,-73.97604882,24904,Subscriber,1953,1
685,13:21.6,24:47.6,393,E 5 St & Avenue C,40.72299208,-73.97995466,128,MacDougal St & Prince St,40.72710258,-74.00297088,26934,Subscriber,1998,1
352,20:02.8,25:55.7,3167,Amsterdam Ave & W 73 St,40.77966809,-73.98093045,3158,W 63 St & Broadway,40.77163851,-73.98261428,33606,Subscriber,1956,1
1765,22:53.8,52:19.6,3317,10 St & 5 Ave,40.6686273,-73.98700053,3418,Plaza St West & Flatbush Ave,40.6750207,-73.97111473,33279,Customer,1985,1
173,28:37.6,31:31.4,3313,6 Ave & 12 St,40.6663181,-73.9854617,3403,4 Ave & 9 St,40.6705135,-73.98876585,20044,Subscriber,1979,2
1038,47:07.0,04:25.9,3320,Central Park West & W 100 St,40.79406661,-73.96286845,447,8 Ave & W 52 St,40.76370739,-73.9851615,38882,Subscriber,1986,1
967,22:46.3,38:53.9,501,FDR Drive & E 35 St,40.744219,-73.97121214,267,Broadway & W 36 St,40.75097711,-73.98765428,25866,Customer,1969,0
281,37:47.0,42:28.7,3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,3314,W 95 St & Broadway,40.7937704,-73.971888,29025,Subscriber,1988,1
316,44:17.8,49:34.1,528,2 Ave & E 31 St,40.74290902,-73.97706058,2003,1 Ave & E 18 St,40.73381219,-73.98054421,39482,Subscriber,1994,1
200,11:46.8,15:07.5,3571,Bedford Ave & Bergen St,40.676368,-73.952918,396,Lefferts Pl & Franklin Ave,40.68034242,-73.95576894,25075,Subscriber,1984,1
957,03:50.5,19:48.0,128,MacDougal St & Prince St,40.72710258,-74.00297088,3441,10 Hudson Yards,40.752957,-74.00264,39037,Subscriber,1962,2
839,10:19.3,24:18.8,325,E 19 St & 3 Ave,40.73624527,-73.98473765,477,W 41 St & 8 Ave,40.75640548,-73.9900262,26400,Subscriber,1987,1
299,58:11.1,03:10.8,423,W 54 St & 9 Ave,40.76584941,-73.98690506,530,11 Ave & W 59 St,40.77149671,-73.99046034,31384,Subscriber,1967,1
802,55:51.3,09:13.6,3170,W 84 St & Columbus Ave,40.78499979,-73.97283406,3231,E 67 St & Park Ave,40.7678008,-73.96592081,34326,Subscriber,1988,1
1647,20:34.2,48:01.7,3687,E 33 St & 1 Ave,40.74322681,-73.97449784,3178,Riverside Dr & W 78 St,40.78414472,-73.98362492,26684,Subscriber,1980,1
1870,52:58.0,24:08.9,3461,Murray St & Greenwich St,40.71485151,-74.01122332,339,Avenue D & E 12 St,40.72580614,-73.97422494,38270,Subscriber,1999,1
1214,58:22.7,18:37.5,279,Peck Slip & Front St,40.707873,-74.00167,427,Bus Slip & State St,40.701907,-74.013942,39352,Subscriber,1969,0
915,53:07.7,08:23.6,3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717,3721,31 St & Newtown Ave,40.76754878,-73.92093346,19603,Customer,1969,0
200,39:05.4,42:25.5,3016,Kent Ave & N 7 St,40.72036775,-73.96165073,3112,Milton St & Franklin St,40.72906,-73.95779,35252,Subscriber,1971,1
458,13:29.3,21:08.2,3134,3 Ave & E 62 St,40.76312584,-73.96526895,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,32187,Subscriber,1989,1
2567,28:59.1,11:46.7,351,Front St & Maiden Ln,40.70530954,-74.00612572,530,11 Ave & W 59 St,40.77149671,-73.99046034,39356,Subscriber,1991,1
1773,15:52.8,45:26.7,3076,Scholes St & Manhattan Ave,40.70870368,-73.9448625,415,Pearl St & Hanover Square,40.7047177,-74.00926027,35586,Subscriber,1984,1
251,32:28.6,36:39.7,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,265,Stanton St & Chrystie St,40.72229346,-73.99147535,39023,Subscriber,1992,1
593,08:44.5,18:37.8,529,W 42 St & 8 Ave,40.7575699,-73.99098507,267,Broadway & W 36 St,40.75097711,-73.98765428,30384,Subscriber,1992,1
841,00:06.1,14:07.3,477,W 41 St & 8 Ave,40.75640548,-73.9900262,305,E 58 St & 3 Ave,40.76095756,-73.96724467,34263,Subscriber,1979,1
